RA,Genero,Fase,Defasagem,Pedra,IAN,IDA,IEG,IAA,IPS,IPV,INDE,IPP,AnoRef
116,Feminino,4,-2,Ágata,5.0,5.9,8.1,5.8,6.3,7.792,6.854,7.96875,2022
116,Feminino,4,-2,Ágata,5.0,5.9,8.1,5.8,6.3,7.792,6.854,6.875,2022
117,Feminino,4,-1,Ágata,5.0,6.1,6.3,7.9,6.9,7.417,6.685,7.8854166668,2022
118,Feminino,4,0,Quartzo,10.0,3.9,5.3,0.0,6.3,6.958,5.597,7.21875,2022
119,Feminino,4,0,Ametista,10.0,5.4,8.2,8.3,5.6,7.875,7.501,7.8125,2022
119,Feminino,4,0,Ametista,10.0,5.4,8.2,8.3,5.6,7.875,7.501,7.5,2022
120,Masculino,4,-1,Ágata,5.0,6.2,5.9,8.3,7.5,7.667,6.825,7.2291666666,2022
121,Feminino,4,-2,Ametista,5.0,7.2,8.4,7.1,6.3,7.625,7.245,7.5,2022
121,Feminino,4,-2,Ametista,5.0,7.2,8.4,7.1,6.3,7.625,7.245,7.34375,2022
121,Feminino,4,-2,Ametista,5.0,7.2,8.4,7.1,6.3,7.625,7.245,7.25,2022
122,Feminino,4,0,Quartzo,10.0,1.8,3.4,7.9,7.5,4.958,5.061,6.2708333334,2022
123,Masculino,4,-2,Ametista,5.0,6.5,8.6,7.9,5.6,7.292,7.084,7.53125,2022
123,Masculino,4,-2,Ametista,5.0,6.5,8.6,7.9,5.6,7.292,7.084,6.875,2022
123,Masculino,4,-2,Ametista,5.0,6.5,8.6,7.9,5.6,7.292,7.084,6.71875,2022
124,Masculino,4,0,Ametista,10.0,6.7,7.8,7.9,5.0,7.167,7.388,7.96875,2022
125,Feminino,4,-1,Ametista,5.0,7.1,8.5,8.8,7.5,7.75,7.619,7.4583333334,2022
125,Feminino,4,-1,Ametista,5.0,7.1,8.5,8.8,7.5,7.75,7.619,8.125,2022
125,Feminino,4,-1,Ametista,5.0,7.1,8.5,8.8,7.5,7.75,7.619,7.34375,2022
126,Masculino,4,-1,Ágata,5.0,4.4,5.8,7.1,7.5,7.417,6.289,6.9270833332,2022
127,Feminino,4,0,Topázio,10.0,7.9,8.7,7.5,7.5,8.125,8.283,8.1041666666,2022
127,Feminino,4,0,Topázio,10.0,7.9,8.7,7.5,7.5,8.125,8.283,8.4375,2022
127,Feminino,4,0,Topázio,10.0,7.9,8.7,7.5,7.5,8.125,8.283,7.625,2022
128,Masculino,4,-1,Quartzo,5.0,5.6,6.2,0.0,7.5,6.167,5.563,7.4166666668,2022
